t,transactions,transaction_units,open_orders,open_order_units,consumer_demand_added_orders,consumer_demand_added_units,consumer_fulfilled_orders,consumer_fulfilled_units,consumer_backlog_orders,consumer_backlog_units,consumer_backlog_delta_units,consumer_new_demand_fill_rate,consumer_queue_clearance_rate,consumer_cumulative_fill_rate,reroutes_applied,reroutes_cumulative,shock_exposure,active_exogenous_shocks,worst_shocked_product,worst_shock_severity
0,0,0.0,250,1788.0,55,132.0,0,0.0,110,187.0,132.0,0.0,0.0,0.0,0,0,0.000479,0,product4,0.001252
1,0,0.0,554,12558.0,55,138.0,0,0.0,165,325.0,138.0,0.0,0.0,0.0,0,0,0.000586,0,product1,0.001794
2,30,2590.0,956,73787.0,55,130.0,0,0.0,220,455.0,130.0,0.0,0.0,0.0,0,0,0.000516,0,product1,0.000951
3,61,1994.0,1385,487349.0,55,119.0,0,0.0,275,574.0,119.0,0.0,0.0,0.0,0,0,0.000515,0,product1,0.001194
4,114,67352.0,1761,2319269.0,55,141.0,24,30.0,306,685.0,111.0,0.212766,0.041958,0.041958,0,0,0.000746,0,product1,0.001493
5,192,1643249.0,2073,2145777.0,55,132.0,15,22.0,346,795.0,110.0,0.166667,0.026928,0.061393,0,0,0.000466,0,product0,0.001399
6,251,1506954.0,2291,2112864.0,55,144.0,6,22.0,395,917.0,122.0,0.152778,0.023429,0.074672,0,0,0.001019,0,product1,0.001699
7,304,1503430.0,2441,1915452.0,55,152.0,11,32.0,439,1037.0,120.0,0.210526,0.029935,0.092738,0,0,0.000605,0,product1,0.001157
8,314,1289241.0,2595,2164004.0,55,120.0,20,33.0,474,1124.0,87.0,0.275,0.028522,0.110055,0,0,0.000362,0,product1,0.001369
9,331,1581730.0,2723,1699767.0,55,125.0,28,40.0,501,1209.0,85.0,0.32,0.032026,0.128963,0,0,0.000617,0,product1,0.001466
10,329,1189599.0,2840,1649379.0,55,124.0,14,31.0,542,1302.0,93.0,0.25,0.023256,0.138889,0,0,0.001119,0,product0,0.001737
11,366,1052539.0,2916,2267900.0,55,134.0,13,38.0,584,1398.0,96.0,0.283582,0.026462,0.150668,0,0,0.000435,0,product0,0.001066
