t,product_id,product_name,total_supply,baseline_supply,shock_severity
0,0,product0,4002632.0,4002745.3,2.8e-05
0,1,product1,4000123.0,4002332.3,0.000552
0,2,product2,6004956.0,6004686.9,0.0
0,3,product3,8001847.0,8003849.1,0.00025
0,4,product4,3995857.0,4002138.9,0.00157
1,0,product0,4001646.0,4002745.3,0.000275
1,1,product1,3996210.0,4002332.3,0.00153
1,2,product2,5997448.0,6004686.9,0.001206
1,3,product3,8005568.0,8003849.1,0.0
1,4,product4,4004417.0,4002138.9,0.0
2,0,product0,3999511.0,4002745.3,0.000808
2,1,product1,3999586.0,4002332.3,0.000686
2,2,product2,6004996.0,6004686.9,0.0
2,3,product3,8002680.0,8003849.1,0.000146
2,4,product4,3998346.0,4002138.9,0.000948
3,0,product0,4001221.0,4002745.3,0.000381
3,1,product1,3998615.0,4002332.3,0.000929
3,2,product2,6001193.0,6004686.9,0.000582
3,3,product3,8001642.0,8003849.1,0.000276
3,4,product4,3999206.0,4002138.9,0.000733
4,0,product0,3998697.0,4002745.3,0.001011
4,1,product1,3997415.0,4002332.3,0.001229
4,2,product2,6002528.0,6004686.9,0.00036
4,3,product3,7999552.0,8003849.1,0.000537
4,4,product4,3998451.0,4002138.9,0.000921
5,0,product0,3997042.0,4002745.3,0.001425
5,1,product1,4001979.0,4002332.3,8.8e-05
5,2,product2,6001155.0,6004686.9,0.000588
5,3,product3,8002755.0,8003849.1,0.000137
5,4,product4,4000460.0,4002138.9,0.00042
6,0,product0,4000562.0,4002745.3,0.000545
6,1,product1,3996592.0,4002332.3,0.001434
6,2,product2,5994395.0,6004686.9,0.001714
6,3,product3,7998272.0,8003849.1,0.000697
6,4,product4,3998006.0,4002138.9,0.001033
7,0,product0,4002784.0,4002745.3,0.0
7,1,product1,3998762.0,4002332.3,0.000892
7,2,product2,5998132.0,6004686.9,0.001092
7,3,product3,8000292.0,8003849.1,0.000444
7,4,product4,3998542.0,4002138.9,0.000899
8,0,product0,4002047.0,4002745.3,0.000174
8,1,product1,3997912.0,4002332.3,0.001104
8,2,product2,6004012.0,6004686.9,0.000112
8,3,product3,8002104.0,8003849.1,0.000218
8,4,product4,4002086.0,4002138.9,1.3e-05
9,0,product0,3998508.0,4002745.3,0.001059
9,1,product1,3997525.0,4002332.3,0.001201
9,2,product2,6001183.0,6004686.9,0.000584
9,3,product3,8001859.0,8003849.1,0.000249
9,4,product4,4002615.0,4002138.9,0.0
10,0,product0,3995692.0,4002745.3,0.001762
10,1,product1,3998632.0,4002332.3,0.000925
10,2,product2,5998626.0,6004686.9,0.001009
10,3,product3,8002245.0,8003849.1,0.0002
10,4,product4,3994045.0,4002138.9,0.002022
11,0,product0,3998377.0,4002745.3,0.001091
11,1,product1,4005518.0,4002332.3,0.0
11,2,product2,5998353.0,6004686.9,0.001055
11,3,product3,8001493.0,8003849.1,0.000294
11,4,product4,4000839.0,4002138.9,0.000325
12,0,product0,4000316.0,4002745.3,0.000607
12,1,product1,3997909.0,4002332.3,0.001105
12,2,product2,6001738.0,6004686.9,0.000491
12,3,product3,7998517.0,8003849.1,0.000666
12,4,product4,4000599.0,4002138.9,0.000385
13,0,product0,4001815.0,4002745.3,0.000232
13,1,product1,4002184.0,4002332.3,3.7e-05
13,2,product2,5997885.0,6004686.9,0.001133
13,3,product3,7998838.0,8003849.1,0.000626
13,4,product4,3999298.0,4002138.9,0.00071
14,0,product0,3999686.0,4002745.3,0.000764
14,1,product1,4000432.0,4002332.3,0.000475
14,2,product2,5999214.0,6004686.9,0.000911
14,3,product3,8000184.0,8003849.1,0.000458
14,4,product4,4000588.0,4002138.9,0.000388
15,0,product0,3998992.0,4002745.3,0.000938
15,1,product1,4000388.0,4002332.3,0.000486
15,2,product2,6004657.0,6004686.9,5e-06
15,3,product3,8002398.0,8003849.1,0.000181
15,4,product4,3999590.0,4002138.9,0.000637
16,0,product0,4000083.0,4002745.3,0.000665
16,1,product1,4001408.0,4002332.3,0.000231
16,2,product2,6000510.0,6004686.9,0.000696
16,3,product3,8002249.0,8003849.1,0.0002
16,4,product4,3989.0,4002138.9,0.999003
17,0,product0,4003239.0,4002745.3,0.0
17,1,product1,4003667.0,4002332.3,0.0
17,2,product2,6000046.0,6004686.9,0.000773
17,3,product3,7999246.0,8003849.1,0.000575
17,4,product4,4877.0,4002138.9,0.998781
18,0,product0,4002741.0,4002745.3,1e-06
18,1,product1,3999122.0,4002332.3,0.000802
18,2,product2,6000436.0,6004686.9,0.000708
18,3,product3,8003790.0,8003849.1,7e-06
18,4,product4,6350.0,4002138.9,0.998413
19,0,product0,4002128.0,4002745.3,0.000154
19,1,product1,3999088.0,4002332.3,0.000811
19,2,product2,6002175.0,6004686.9,0.000418
19,3,product3,8004381.0,8003849.1,0.0
19,4,product4,7958.0,4002138.9,0.998012
