t,transactions,transaction_units,open_orders,open_order_units,consumer_demand_added_orders,consumer_demand_added_units,consumer_fulfilled_orders,consumer_fulfilled_units,consumer_backlog_orders,consumer_backlog_units,consumer_backlog_delta_units,consumer_new_demand_fill_rate,consumer_queue_clearance_rate,consumer_cumulative_fill_rate,reroutes_applied,reroutes_cumulative,shock_exposure,active_exogenous_shocks,worst_shocked_product,worst_shock_severity
0,0,0.0,250,1788.0,55,132.0,0,0.0,110,187.0,132.0,0.0,0.0,0.0,0,0,0.00048,0,product4,0.00157
1,0,0.0,554,12558.0,55,138.0,0,0.0,165,325.0,138.0,0.0,0.0,0.0,0,0,0.000602,0,product1,0.00153
2,30,2590.0,956,73787.0,55,130.0,0,0.0,220,455.0,130.0,0.0,0.0,0.0,0,0,0.000518,0,product4,0.000948
3,61,1994.0,1385,487349.0,55,119.0,0,0.0,275,574.0,119.0,0.0,0.0,0.0,0,0,0.00058,0,product1,0.000929
4,114,67352.0,1761,2319269.0,55,141.0,24,30.0,306,685.0,111.0,0.212766,0.041958,0.041958,0,0,0.000812,0,product1,0.001229
5,192,1643249.0,2073,2145777.0,55,132.0,15,22.0,346,795.0,110.0,0.166667,0.026928,0.061393,0,0,0.000532,0,product0,0.001425
6,251,1506954.0,2291,2112864.0,55,144.0,6,22.0,395,917.0,122.0,0.152778,0.023429,0.074672,0,0,0.001085,0,product2,0.001714
7,304,1503430.0,2441,1915452.0,55,152.0,11,32.0,439,1037.0,120.0,0.210526,0.029935,0.092738,0,0,0.000665,0,product2,0.001092
8,314,1289241.0,2595,2164004.0,55,120.0,20,33.0,474,1124.0,87.0,0.275,0.028522,0.110055,0,0,0.000325,0,product1,0.001104
9,331,1581730.0,2723,1699767.0,55,125.0,28,40.0,501,1209.0,85.0,0.32,0.032026,0.128963,0,0,0.000618,0,product1,0.001201
10,329,1189599.0,2840,1649379.0,55,124.0,14,31.0,542,1302.0,93.0,0.25,0.023256,0.138889,0,0,0.001184,0,product4,0.002022
11,366,1052539.0,2916,2267900.0,55,134.0,13,38.0,584,1398.0,96.0,0.283582,0.026462,0.150668,0,0,0.000553,0,product0,0.001091
12,377,1623866.0,2957,1962336.0,55,116.0,36,68.0,603,1446.0,48.0,0.586207,0.044914,0.179342,0,0,0.000651,0,product1,0.001105
13,343,1360063.0,3018,1966404.0,55,120.0,63,120.0,595,1446.0,0.0,1.0,0.076628,0.231668,0,0,0.000548,0,product2,0.001133
14,390,1343008.0,3036,2109365.0,55,112.0,28,67.0,622,1491.0,45.0,0.598214,0.043004,0.252257,0,0,0.000599,0,product2,0.000911
15,383,1457660.0,3050,2099433.0,55,122.0,36,61.0,641,1552.0,61.0,0.5,0.037818,0.266541,0,0,0.000449,0,product0,0.000938
16,371,1480555.0,3078,1572777.0,55,110.0,27,54.0,669,1608.0,56.0,0.490909,0.032491,0.277628,0,0,0.200159,1,product4,0.999003
17,346,1022034.0,3139,1407274.0,55,123.0,45,101.0,679,1630.0,22.0,0.821138,0.058348,0.306088,0,0,0.200026,1,product4,0.998781
18,320,758461.0,3229,1992521.0,55,100.0,19,34.0,715,1696.0,66.0,0.34,0.019653,0.307472,0,0,0.199986,1,product4,0.998413
19,306,1161292.0,3320,2295661.0,55,107.0,26,54.0,744,1749.0,53.0,0.504673,0.02995,0.315728,0,0,0.199879,1,product4,0.998012
