source_id,source,dest_id,dest,units,layer
1,product1,5,product5,3,1
4,product4,5,product5,4,1
0,product0,5,product5,3,1
3,product3,6,product6,4,1
0,product0,6,product6,2,1
2,product2,6,product6,1,1
1,product1,6,product6,1,1
2,product2,7,product7,4,1
1,product1,7,product7,4,1
3,product3,8,product8,3,1
2,product2,8,product8,3,1
0,product0,9,product9,1,1
3,product3,9,product9,4,1
4,product4,10,product10,2,1
0,product0,10,product10,3,1
0,product0,11,product11,1,1
3,product3,11,product11,4,1
2,product2,12,product12,4,1
3,product3,12,product12,1,1
0,product0,12,product12,3,1
3,product3,13,product13,2,1
2,product2,13,product13,2,1
0,product0,13,product13,4,1
1,product1,14,product14,1,1
2,product2,14,product14,1,1
11,product11,15,product15,2,2
12,product12,15,product15,3,2
13,product13,15,product15,2,2
14,product14,16,product16,1,2
11,product11,16,product16,2,2
12,product12,17,product17,2,2
8,product8,17,product17,2,2
13,product13,17,product17,4,2
11,product11,17,product17,2,2
5,product5,18,product18,1,2
14,product14,18,product18,1,2
10,product10,19,product19,3,2
5,product5,19,product19,2,2
9,product9,19,product19,4,2
14,product14,20,product20,4,2
12,product12,20,product20,1,2
11,product11,20,product20,1,2
14,product14,21,product21,3,2
5,product5,21,product21,1,2
7,product7,21,product21,3,2
5,product5,22,product22,4,2
9,product9,22,product22,2,2
11,product11,22,product22,2,2
6,product6,22,product22,2,2
7,product7,23,product23,1,2
14,product14,23,product23,1,2
12,product12,23,product23,2,2
11,product11,23,product23,1,2
14,product14,24,product24,4,2
12,product12,24,product24,4,2
7,product7,24,product24,3,2
11,product11,24,product24,1,2
16,product16,25,product25,4,3
18,product18,25,product25,3,3
20,product20,25,product25,3,3
22,product22,25,product25,2,3
21,product21,26,product26,4,3
19,product19,26,product26,4,3
18,product18,26,product26,1,3
23,product23,27,product27,1,3
24,product24,27,product27,3,3
21,product21,28,product28,4,3
20,product20,28,product28,2,3
24,product24,28,product28,2,3
18,product18,28,product28,1,3
24,product24,29,product29,3,3
20,product20,29,product29,4,3
23,product23,30,product30,4,3
24,product24,30,product30,2,3
20,product20,30,product30,4,3
21,product21,31,product31,1,3
24,product24,31,product31,2,3
20,product20,31,product31,2,3
23,product23,31,product31,4,3
24,product24,32,product32,2,3
20,product20,32,product32,2,3
23,product23,32,product32,4,3
21,product21,33,product33,3,3
18,product18,33,product33,3,3
24,product24,33,product33,1,3
20,product20,33,product33,4,3
21,product21,34,product34,3,3
18,product18,34,product34,4,3
24,product24,34,product34,2,3
26,product26,35,product35,2,4
28,product28,35,product35,2,4
34,product34,35,product35,1,4
25,product25,36,product36,3,4
28,product28,36,product36,1,4
26,product26,36,product36,2,4
34,product34,36,product36,2,4
33,product33,37,product37,4,4
34,product34,37,product37,1,4
27,product27,38,product38,4,4
30,product30,38,product38,3,4
27,product27,39,product39,3,4
30,product30,39,product39,2,4
29,product29,39,product39,3,4
32,product32,40,product40,3,4
29,product29,40,product40,1,4
32,product32,41,product41,2,4
27,product27,41,product41,2,4
25,product25,41,product41,1,4
28,product28,42,product42,4,4
29,product29,42,product42,1,4
31,product31,43,product43,1,4
29,product29,43,product43,1,4
25,product25,44,product44,4,4
32,product32,44,product44,4,4
28,product28,44,product44,1,4
40,product40,45,product45,3,5
41,product41,45,product45,2,5
44,product44,45,product45,2,5
42,product42,45,product45,2,5
41,product41,46,product46,2,5
40,product40,46,product46,2,5
44,product44,46,product46,1,5
38,product38,46,product46,2,5
38,product38,47,product47,2,5
39,product39,47,product47,2,5
40,product40,47,product47,1,5
43,product43,47,product47,1,5
43,product43,48,product48,2,5
37,product37,48,product48,3,5
42,product42,48,product48,4,5
37,product37,49,product49,4,5
43,product43,49,product49,4,5
42,product42,49,product49,4,5
