t,product_id,product_name,total_supply,baseline_supply,shock_severity
0,0,product0,5998693.0,6003177.1,0.000747
0,1,product1,7997574.0,8003453.0,0.000735
0,2,product2,7000165.0,7003082.8,0.000417
0,3,product3,4998043.0,5002420.0,0.000875
0,4,product4,4998894.0,5003090.4,0.000839
1,0,product0,6003748.0,6003177.1,0.0
1,1,product1,8002228.0,8003453.0,0.000153
1,2,product2,7001690.0,7003082.8,0.000199
1,3,product3,4997695.0,5002420.0,0.000945
1,4,product4,4995247.0,5003090.4,0.001568
2,0,product0,6003148.0,6003177.1,5e-06
2,1,product1,7998385.0,8003453.0,0.000633
2,2,product2,7002342.0,7003082.8,0.000106
2,3,product3,4999477.0,5002420.0,0.000588
2,4,product4,5005450.0,5003090.4,0.0
3,0,product0,6001306.0,6003177.1,0.000312
3,1,product1,8004455.0,8003453.0,0.0
3,2,product2,7000155.0,7003082.8,0.000418
3,3,product3,5003599.0,5002420.0,0.0
3,4,product4,4999629.0,5003090.4,0.000692
4,0,product0,5999902.0,6003177.1,0.000546
4,1,product1,7996492.0,8003453.0,0.00087
4,2,product2,7001573.0,7003082.8,0.000216
4,3,product3,4999470.0,5002420.0,0.00059
4,4,product4,4998486.0,5003090.4,0.00092
5,0,product0,5997086.0,6003177.1,0.001015
5,1,product1,8003966.0,8003453.0,0.0
5,2,product2,7000382.0,7003082.8,0.000386
5,3,product3,5000491.0,5002420.0,0.000386
5,4,product4,5001674.0,5003090.4,0.000283
6,0,product0,5999136.0,6003177.1,0.000673
6,1,product1,7998591.0,8003453.0,0.000607
6,2,product2,6996363.0,7003082.8,0.00096
6,3,product3,4999651.0,5002420.0,0.000554
6,4,product4,4997063.0,5003090.4,0.001205
7,0,product0,5999453.0,6003177.1,0.00062
7,1,product1,8002056.0,8003453.0,0.000175
7,2,product2,7004115.0,7003082.8,0.0
7,3,product3,4999354.0,5002420.0,0.000613
7,4,product4,4997928.0,5003090.4,0.001032
8,0,product0,6001598.0,6003177.1,0.000263
8,1,product1,8002190.0,8003453.0,0.000158
8,2,product2,6992364.0,7003082.8,0.001531
8,3,product3,4999578.0,5002420.0,0.000568
8,4,product4,5003094.0,5003090.4,0.0
9,0,product0,6000149.0,6003177.1,0.000504
9,1,product1,7999135.0,8003453.0,0.00054
9,2,product2,7001975.0,7003082.8,0.000158
9,3,product3,5000135.0,5002420.0,0.000457
9,4,product4,5002244.0,5003090.4,0.000169
10,0,product0,6002114.0,6003177.1,0.000177
10,1,product1,8001104.0,8003453.0,0.000293
10,2,product2,7002969.0,7003082.8,1.6e-05
10,3,product3,5002289.0,5002420.0,2.6e-05
10,4,product4,4996551.0,5003090.4,0.001307
11,0,product0,5996947.0,6003177.1,0.001038
11,1,product1,7999130.0,8003453.0,0.00054
11,2,product2,6998504.0,7003082.8,0.000654
11,3,product3,4998564.0,5002420.0,0.000771
11,4,product4,5001322.0,5003090.4,0.000353
12,0,product0,5997330.0,6003177.1,0.000974
12,1,product1,7996609.0,8003453.0,0.000855
12,2,product2,6998481.0,7003082.8,0.000657
12,3,product3,4999355.0,5002420.0,0.000613
12,4,product4,5002770.0,5003090.4,6.4e-05
13,0,product0,6003439.0,6003177.1,0.0
13,1,product1,8002522.0,8003453.0,0.000116
13,2,product2,6995230.0,7003082.8,0.001121
13,3,product3,4998261.0,5002420.0,0.000831
13,4,product4,5002967.0,5003090.4,2.5e-05
14,0,product0,5999441.0,6003177.1,0.000622
14,1,product1,7997826.0,8003453.0,0.000703
14,2,product2,7004107.0,7003082.8,0.0
14,3,product3,5004082.0,5002420.0,0.0
14,4,product4,5001257.0,5003090.4,0.000366
15,0,product0,5998323.0,6003177.1,0.000809
15,1,product1,8001562.0,8003453.0,0.000236
15,2,product2,6996812.0,7003082.8,0.000895
15,3,product3,5002144.0,5002420.0,5.5e-05
15,4,product4,5003090.0,5003090.4,0.0
16,0,product0,6000150.0,6003177.1,0.000504
16,1,product1,7999321.0,8003453.0,0.000516
16,2,product2,7000779.0,7003082.8,0.000329
16,3,product3,4997875.0,5002420.0,0.000909
16,4,product4,5002278.0,5003090.4,0.000162
17,0,product0,5998506.0,6003177.1,0.000778
17,1,product1,8003396.0,8003453.0,7e-06
17,2,product2,7000623.0,7003082.8,0.000351
17,3,product3,4998364.0,5002420.0,0.000811
17,4,product4,5000645.0,5003090.4,0.000489
18,0,product0,6002348.0,6003177.1,0.000138
18,1,product1,7998371.0,8003453.0,0.000635
18,2,product2,7002836.0,7003082.8,3.5e-05
18,3,product3,5000224.0,5002420.0,0.000439
18,4,product4,5001253.0,5003090.4,0.000367
19,0,product0,6000988.0,6003177.1,0.000365
19,1,product1,8000233.0,8003453.0,0.000402
19,2,product2,6996034.0,7003082.8,0.001007
19,3,product3,4999904.0,5002420.0,0.000503
19,4,product4,5000921.0,5003090.4,0.000434
