t,transactions,transaction_units,open_orders,open_order_units,consumer_demand_added_orders,consumer_demand_added_units,consumer_fulfilled_orders,consumer_fulfilled_units,consumer_backlog_orders,consumer_backlog_units,consumer_backlog_delta_units,consumer_new_demand_fill_rate,consumer_queue_clearance_rate,consumer_cumulative_fill_rate,reroutes_applied,reroutes_cumulative,shock_exposure,active_exogenous_shocks,worst_shocked_product,worst_shock_severity
0,0,0.0,196,1158.0,43,98.0,0,0.0,86,141.0,98.0,0.0,0.0,0.0,0,0,0.000722,0,product3,0.000875
1,0,0.0,452,11456.0,43,107.0,0,0.0,129,248.0,107.0,0.0,0.0,0.0,0,0,0.000573,0,product4,0.001568
2,0,0.0,810,85215.0,43,100.0,0,0.0,172,348.0,100.0,0.0,0.0,0.0,0,0,0.000266,0,product1,0.000633
3,0,0.0,1258,569258.0,43,96.0,0,0.0,215,444.0,96.0,0.0,0.0,0.0,0,0,0.000284,0,product4,0.000692
4,46,123519.0,1685,2597915.0,43,100.0,0,0.0,258,544.0,100.0,0.0,0.0,0.0,0,0,0.000628,0,product4,0.00092
5,110,1913582.0,2070,2248180.0,43,102.0,0,0.0,301,646.0,102.0,0.0,0.0,0.0,0,0,0.000414,0,product0,0.001015
6,188,1609895.0,2343,2075709.0,43,88.0,0,0.0,344,734.0,88.0,0.0,0.0,0.0,0,0,0.0008,0,product4,0.001205
7,219,1446956.0,2575,2097585.0,43,100.0,0,0.0,387,834.0,100.0,0.0,0.0,0.0,0,0,0.000488,0,product4,0.001032
8,276,1419759.0,2776,2390456.0,43,108.0,0,0.0,430,942.0,108.0,0.0,0.0,0.0,0,0,0.000504,0,product2,0.001531
9,299,1621951.0,2871,2685628.0,43,93.0,27,39.0,446,996.0,54.0,0.419355,0.037681,0.037681,0,0,0.000366,0,product1,0.00054
10,293,1841058.0,3035,2703872.0,43,100.0,0,0.0,489,1096.0,100.0,0.0,0.0,0.034361,0,0,0.000364,0,product4,0.001307
11,300,1917601.0,3180,2279131.0,43,110.0,10,13.0,522,1193.0,97.0,0.118182,0.010779,0.041767,0,0,0.000671,0,product0,0.001038
12,319,1547005.0,3322,2341447.0,43,95.0,5,6.0,560,1282.0,89.0,0.063158,0.004658,0.043284,0,0,0.000633,0,product0,0.000974
13,396,1654969.0,3281,2058188.0,43,90.0,17,42.0,586,1330.0,48.0,0.466667,0.030612,0.06993,0,0,0.000419,0,product2,0.001121
14,420,1356804.0,3245,2371200.0,43,99.0,10,29.0,619,1400.0,70.0,0.292929,0.020294,0.084369,0,0,0.000338,0,product1,0.000703
15,351,1624686.0,3254,2373640.0,43,90.0,59,102.0,603,1388.0,-12.0,1.0,0.068456,0.142681,0,0,0.000399,0,product2,0.000895
16,363,1644560.0,3253,2154293.0,43,92.0,35,94.0,611,1386.0,-2.0,1.0,0.063514,0.189947,0,0,0.000484,0,product3,0.000909
17,332,1450502.0,3309,2205992.0,43,89.0,44,102.0,610,1373.0,-13.0,1.0,0.069153,0.237222,0,0,0.000487,0,product3,0.000811
18,356,1493954.0,3386,2217938.0,43,81.0,28,81.0,625,1373.0,0.0,1.0,0.055708,0.270069,0,0,0.000323,0,product1,0.000635
19,355,1612650.0,3425,1544248.0,43,92.0,31,67.0,637,1398.0,25.0,0.728261,0.045734,0.291434,0,0,0.000542,0,product2,0.001007
