t,product_id,product_name,total_supply,baseline_supply,shock_severity
0,0,product0,5998693.0,6002382.1,0.000615
0,1,product1,7997574.0,8003580.4,0.00075
0,2,product2,7000165.0,7003293.4,0.000447
0,3,product3,4998043.0,5002657.6,0.000922
0,4,product4,4998894.0,5003090.4,0.000839
1,0,product0,6003748.0,6002382.1,0.0
1,1,product1,8002228.0,8003580.4,0.000169
1,2,product2,7001690.0,7003293.4,0.000229
1,3,product3,4997695.0,5002657.6,0.000992
1,4,product4,4995247.0,5003090.4,0.001568
2,0,product0,6003148.0,6002382.1,0.0
2,1,product1,7998385.0,8003580.4,0.000649
2,2,product2,7002342.0,7003293.4,0.000136
2,3,product3,4999477.0,5002657.6,0.000636
2,4,product4,5005450.0,5003090.4,0.0
3,0,product0,6001306.0,6002382.1,0.000179
3,1,product1,8004455.0,8003580.4,0.0
3,2,product2,7000155.0,7003293.4,0.000448
3,3,product3,5003599.0,5002657.6,0.0
3,4,product4,4999629.0,5003090.4,0.000692
4,0,product0,5999902.0,6002382.1,0.000413
4,1,product1,7996492.0,8003580.4,0.000886
4,2,product2,7001573.0,7003293.4,0.000246
4,3,product3,4999470.0,5002657.6,0.000637
4,4,product4,4998486.0,5003090.4,0.00092
5,0,product0,5997086.0,6002382.1,0.000882
5,1,product1,8003966.0,8003580.4,0.0
5,2,product2,7000382.0,7003293.4,0.000416
5,3,product3,5000491.0,5002657.6,0.000433
5,4,product4,5001674.0,5003090.4,0.000283
6,0,product0,5999136.0,6002382.1,0.000541
6,1,product1,7998591.0,8003580.4,0.000623
6,2,product2,6996363.0,7003293.4,0.00099
6,3,product3,4999651.0,5002657.6,0.000601
6,4,product4,4997063.0,5003090.4,0.001205
7,0,product0,5999453.0,6002382.1,0.000488
7,1,product1,8002056.0,8003580.4,0.00019
7,2,product2,7004115.0,7003293.4,0.0
7,3,product3,4999354.0,5002657.6,0.00066
7,4,product4,4997928.0,5003090.4,0.001032
8,0,product0,6001598.0,6002382.1,0.000131
8,1,product1,8002190.0,8003580.4,0.000174
8,2,product2,6992364.0,7003293.4,0.001561
8,3,product3,4999578.0,5002657.6,0.000616
8,4,product4,5003094.0,5003090.4,0.0
9,0,product0,6000149.0,6002382.1,0.000372
9,1,product1,7999135.0,8003580.4,0.000555
9,2,product2,7001975.0,7003293.4,0.000188
9,3,product3,5000135.0,5002657.6,0.000504
9,4,product4,5002244.0,5003090.4,0.000169
10,0,product0,6002114.0,6002382.1,4.5e-05
10,1,product1,8001104.0,8003580.4,0.000309
10,2,product2,7002969.0,7003293.4,4.6e-05
10,3,product3,5002289.0,5002657.6,7.4e-05
10,4,product4,4996551.0,5003090.4,0.001307
11,0,product0,5996947.0,6002382.1,0.000905
11,1,product1,7999130.0,8003580.4,0.000556
11,2,product2,6998504.0,7003293.4,0.000684
11,3,product3,4998564.0,5002657.6,0.000818
11,4,product4,5001322.0,5003090.4,0.000353
12,0,product0,5997330.0,6002382.1,0.000842
12,1,product1,7996609.0,8003580.4,0.000871
12,2,product2,6998481.0,7003293.4,0.000687
12,3,product3,4999355.0,5002657.6,0.00066
12,4,product4,5002770.0,5003090.4,6.4e-05
13,0,product0,6003439.0,6002382.1,0.0
13,1,product1,8002522.0,8003580.4,0.000132
13,2,product2,6995230.0,7003293.4,0.001151
13,3,product3,4998261.0,5002657.6,0.000879
13,4,product4,5002967.0,5003090.4,2.5e-05
14,0,product0,5999441.0,6002382.1,0.00049
14,1,product1,7997826.0,8003580.4,0.000719
14,2,product2,7004107.0,7003293.4,0.0
14,3,product3,5004082.0,5002657.6,0.0
14,4,product4,5001257.0,5003090.4,0.000366
15,0,product0,5998323.0,6002382.1,0.000676
15,1,product1,8001562.0,8003580.4,0.000252
15,2,product2,6996812.0,7003293.4,0.000925
15,3,product3,5002144.0,5002657.6,0.000103
15,4,product4,5003090.0,5003090.4,0.0
16,0,product0,6000150.0,6002382.1,0.000372
16,1,product1,7999321.0,8003580.4,0.000532
16,2,product2,7000779.0,7003293.4,0.000359
16,3,product3,4997875.0,5002657.6,0.000956
16,4,product4,5002278.0,5003090.4,0.000162
17,0,product0,5998506.0,6002382.1,0.000646
17,1,product1,8003396.0,8003580.4,2.3e-05
17,2,product2,7000623.0,7003293.4,0.000381
17,3,product3,4998364.0,5002657.6,0.000858
17,4,product4,5000645.0,5003090.4,0.000489
18,0,product0,6002348.0,6002382.1,6e-06
18,1,product1,7998371.0,8003580.4,0.000651
18,2,product2,7002836.0,7003293.4,6.5e-05
18,3,product3,5000224.0,5002657.6,0.000486
18,4,product4,5001253.0,5003090.4,0.000367
19,0,product0,6000988.0,6002382.1,0.000232
19,1,product1,8000233.0,8003580.4,0.000418
19,2,product2,6996034.0,7003293.4,0.001037
19,3,product3,4999904.0,5002657.6,0.00055
19,4,product4,5000921.0,5003090.4,0.000434
20,0,product0,5998587.0,6002382.1,0.000632
20,1,product1,8000554.0,8003580.4,0.000378
20,2,product2,7002153.0,7003293.4,0.000163
20,3,product3,5002771.0,5002657.6,0.0
20,4,product4,5000643.0,5003090.4,0.000489
21,0,product0,5999443.0,6002382.1,0.00049
21,1,product1,8003540.0,8003580.4,5e-06
21,2,product2,6997386.0,7003293.4,0.000844
21,3,product3,5003959.0,5002657.6,0.0
21,4,product4,4998703.0,5003090.4,0.000877
22,0,product0,5999201.0,6002382.1,0.00053
22,1,product1,8001292.0,8003580.4,0.000286
22,2,product2,7001129.0,7003293.4,0.000309
22,3,product3,4998953.0,5002657.6,0.000741
22,4,product4,5000429.0,5003090.4,0.000532
23,0,product0,6003815.0,6002382.1,0.0
23,1,product1,8006410.0,8003580.4,0.0
23,2,product2,6996209.0,7003293.4,0.001012
23,3,product3,5002177.0,5002657.6,9.6e-05
23,4,product4,5003345.0,5003090.4,0.0
