t,transactions,transaction_units,open_orders,open_order_units,consumer_demand_added_orders,consumer_demand_added_units,consumer_fulfilled_orders,consumer_fulfilled_units,consumer_backlog_orders,consumer_backlog_units,consumer_backlog_delta_units,consumer_new_demand_fill_rate,consumer_queue_clearance_rate,consumer_cumulative_fill_rate,reroutes_applied,reroutes_cumulative,shock_exposure,active_exogenous_shocks,worst_shocked_product,worst_shock_severity
0,0,0.0,196,1158.0,43,98.0,0,0.0,86,141.0,98.0,0.0,0.0,0.0,0,0,0.000715,0,product3,0.000922
1,0,0.0,452,11456.0,43,107.0,0,0.0,129,248.0,107.0,0.0,0.0,0.0,0,0,0.000592,0,product4,0.001568
2,0,0.0,810,85215.0,43,100.0,0,0.0,172,348.0,100.0,0.0,0.0,0.0,0,0,0.000284,0,product1,0.000649
3,0,0.0,1258,569258.0,43,96.0,0,0.0,215,444.0,96.0,0.0,0.0,0.0,0,0,0.000264,0,product4,0.000692
4,46,123519.0,1685,2597915.0,43,100.0,0,0.0,258,544.0,100.0,0.0,0.0,0.0,0,0,0.00062,0,product4,0.00092
5,110,1913582.0,2070,2248180.0,43,102.0,0,0.0,301,646.0,102.0,0.0,0.0,0.0,0,0,0.000403,0,product0,0.000882
6,188,1609895.0,2343,2075709.0,43,88.0,0,0.0,344,734.0,88.0,0.0,0.0,0.0,0,0,0.000792,0,product4,0.001205
7,219,1446956.0,2575,2097585.0,43,100.0,0,0.0,387,834.0,100.0,0.0,0.0,0.0,0,0,0.000474,0,product4,0.001032
8,276,1419759.0,2776,2390456.0,43,108.0,0,0.0,430,942.0,108.0,0.0,0.0,0.0,0,0,0.000496,0,product2,0.001561
9,299,1621951.0,2871,2685628.0,43,93.0,27,39.0,446,996.0,54.0,0.419355,0.037681,0.037681,0,0,0.000358,0,product1,0.000555
10,293,1841058.0,3035,2703872.0,43,100.0,0,0.0,489,1096.0,100.0,0.0,0.0,0.034361,0,0,0.000356,0,product4,0.001307
11,300,1917601.0,3180,2279131.0,43,110.0,10,13.0,522,1193.0,97.0,0.118182,0.010779,0.041767,0,0,0.000663,0,product0,0.000905
12,319,1547005.0,3322,2341447.0,43,95.0,5,6.0,560,1282.0,89.0,0.063158,0.004658,0.043284,0,0,0.000625,0,product1,0.000871
13,396,1654969.0,3281,2058188.0,43,90.0,17,42.0,586,1330.0,48.0,0.466667,0.030612,0.06993,0,0,0.000437,0,product2,0.001151
14,420,1356804.0,3245,2371200.0,43,99.0,10,29.0,619,1400.0,70.0,0.292929,0.020294,0.084369,0,0,0.000315,0,product1,0.000719
15,351,1624686.0,3254,2373640.0,43,90.0,59,102.0,603,1388.0,-12.0,1.0,0.068456,0.142681,0,0,0.000391,0,product2,0.000925
16,363,1644560.0,3253,2154293.0,43,92.0,35,94.0,611,1386.0,-2.0,1.0,0.063514,0.189947,0,0,0.000476,0,product3,0.000956
17,332,1450502.0,3309,2205992.0,43,89.0,44,102.0,610,1373.0,-13.0,1.0,0.069153,0.237222,0,0,0.000479,0,product3,0.000858
18,356,1493954.0,3386,2217938.0,43,81.0,28,81.0,625,1373.0,0.0,1.0,0.055708,0.270069,0,0,0.000315,0,product1,0.000651
19,355,1612650.0,3425,1544248.0,43,92.0,31,67.0,637,1398.0,25.0,0.728261,0.045734,0.291434,0,0,0.000534,0,product2,0.001037
20,372,1004206.0,3451,1764798.0,43,101.0,54,83.0,626,1416.0,18.0,0.821782,0.05537,0.317261,0,0,0.000332,0,product0,0.000632
21,395,1163027.0,3456,1934776.0,43,85.0,34,66.0,635,1435.0,19.0,0.776471,0.043971,0.33534,0,0,0.000443,0,product4,0.000877
22,356,1362690.0,3508,1628108.0,43,97.0,37,76.0,641,1456.0,21.0,0.783505,0.049608,0.35461,0,0,0.000479,0,product3,0.000741
23,382,1017220.0,3507,2197898.0,43,79.0,35,118.0,649,1417.0,-39.0,1.0,0.076873,0.393148,0,0,0.000222,0,product2,0.001012
24,329,1502144.0,3569,2162386.0,43,72.0,27,83.0,665,1406.0,-11.0,1.0,0.055742,0.41587,0,0,0.000583,0,product4,0.001256
25,369,1532067.0,3576,1793827.0,43,90.0,39,86.0,669,1410.0,4.0,0.955556,0.057487,0.435322,0,0,0.000245,0,product2,0.000785
26,397,1229151.0,3566,1842532.0,43,109.0,18,67.0,694,1452.0,42.0,0.614679,0.044108,0.442824,0,0,0.000416,0,product2,0.000551
27,426,1302608.0,3454,1631958.0,43,85.0,53,121.0,684,1416.0,-36.0,1.0,0.078725,0.473802,0,0,0.000898,0,product3,0.001688
28,421,1132161.0,3386,1554586.0,43,73.0,30,47.0,697,1442.0,26.0,0.643836,0.031565,0.478292,0,0,0.000511,0,product4,0.000958
29,376,1006618.0,3361,1936097.0,43,85.0,41,106.0,699,1421.0,-21.0,1.0,0.069417,0.501229,0,0,0.000516,0,product0,0.000846
30,363,1291903.0,3389,2231660.0,43,61.0,43,80.0,699,1402.0,-19.0,1.0,0.053981,0.518213,0,0,0.000271,0,product4,0.000631
31,371,1552802.0,3399,2130873.0,43,76.0,30,69.0,712,1409.0,7.0,0.907895,0.046685,0.528131,0,0,0.000609,0,product4,0.001214
32,348,1511763.0,3411,1709997.0,43,89.0,41,80.0,714,1418.0,9.0,0.898876,0.053405,0.538862,0,0,0.000554,0,product1,0.001411
33,362,1183030.0,3398,1509068.0,43,96.0,48,106.0,709,1408.0,-10.0,1.0,0.070013,0.555976,0,0,0.000453,0,product2,0.000867
34,383,1060104.0,3335,1248979.0,43,99.0,70,92.0,682,1415.0,7.0,0.929293,0.061048,0.567278,0,0,0.000999,0,product3,0.00148
35,371,805655.0,3281,1472360.0,43,77.0,38,76.0,687,1416.0,1.0,0.987013,0.050938,0.576935,0,0,0.000511,0,product1,0.000958
36,340,948196.0,3325,1857388.0,43,85.0,19,62.0,711,1439.0,23.0,0.729412,0.041306,0.580711,0,0,0.000425,0,product4,0.000696
37,333,1238053.0,3361,2156132.0,43,81.0,60,115.0,694,1405.0,-34.0,1.0,0.075658,0.600057,0,0,0.000374,0,product1,0.000628
38,301,1467790.0,3452,2298767.0,43,89.0,50,99.0,687,1395.0,-10.0,1.0,0.066265,0.612715,0,0,0.000456,0,product2,0.000809
39,357,1658154.0,3505,1844868.0,43,103.0,10,22.0,720,1476.0,81.0,0.213592,0.014686,0.601619,0,0,0.000602,0,product0,0.001093
40,383,1292750.0,3519,1591016.0,43,103.0,21,38.0,742,1541.0,65.0,0.368932,0.024066,0.595326,0,0,0.000396,0,product4,0.000938
41,369,1061366.0,3537,1667342.0,43,102.0,30,32.0,755,1611.0,70.0,0.313725,0.019477,0.58798,0,0,0.000258,0,product1,0.000777
42,360,1114256.0,3565,1856932.0,43,88.0,41,82.0,757,1617.0,6.0,0.931818,0.048264,0.595548,0,0,0.000667,0,product3,0.00115
43,343,1219608.0,3584,2274475.0,43,73.0,37,81.0,763,1609.0,-8.0,1.0,0.047929,0.604765,0,0,0.000251,0,product4,0.000516
44,337,1504974.0,3626,2764037.0,43,88.0,42,89.0,764,1608.0,-1.0,1.0,0.052445,0.613369,0,0,0.00053,0,product4,0.000835
45,361,1922135.0,3664,2706367.0,43,74.0,18,31.0,789,1651.0,43.0,0.418919,0.01843,0.609969,0,0,0.000624,0,product4,0.000998
46,354,1993225.0,3661,1826497.0,43,71.0,21,63.0,811,1659.0,8.0,0.887324,0.036585,0.614545,0,0,0.000202,0,product4,0.000412
47,365,1290102.0,3636,1573579.0,43,82.0,69,126.0,785,1615.0,-44.0,1.0,0.072372,0.631783,0,0,0.000667,0,product4,0.001457
48,378,1077171.0,3621,1574985.0,43,94.0,25,49.0,803,1660.0,45.0,0.521277,0.028672,0.629464,0,0,0.000667,0,product1,0.000875
49,411,1083128.0,3578,1571387.0,43,83.0,27,54.0,819,1689.0,29.0,0.650602,0.030981,0.629849,0,0,0.00069,0,product4,0.001072
