supplier_id,buyer_id,product_id,amount,time
1,9,4,200.0,4
1,11,4,3604.0,4
1,16,4,536.0,4
1,18,4,160.0,4
1,19,4,10812.0,4
1,25,4,3664.0,4
2,1,4,12860.0,4
2,9,1,50.0,4
2,15,4,1456.0,4
2,36,4,3776.0,4
3,6,4,288.0,4
3,30,4,6268.0,4
3,42,0,3182.0,4
4,18,1,40.0,4
5,6,3,192.0,4
6,11,0,1802.0,4
6,36,0,1888.0,4
7,10,2,50.0,4
7,18,2,80.0,4
9,9,3,240.0,4
9,10,3,50.0,4
9,12,3,1040.0,4
9,18,3,160.0,4
9,30,3,128.0,4
10,9,2,140.0,4
10,14,3,1784.0,4
11,12,4,1560.0,4
11,20,4,1992.0,4
12,1,0,6430.0,4
12,14,0,5120.0,4
12,15,0,728.0,4
12,16,0,1608.0,4
13,13,4,10592.0,4
13,14,4,3788.0,4
13,32,4,1632.0,4
13,41,4,536.0,4
13,42,4,12728.0,4
14,20,0,498.0,4
14,32,0,408.0,4
14,41,0,1608.0,4
15,6,0,192.0,4
15,19,0,4505.0,4
15,25,0,1052.0,4
15,30,0,7756.0,4
16,12,0,1040.0,4
16,13,0,5296.0,4
1,5,4,3732.0,5
1,6,4,34671.0,5
1,8,4,24306.0,5
1,11,4,71328.0,5
1,12,4,106977.0,5
1,21,4,19360.0,5
1,22,4,19432.0,5
1,25,4,11868.0,5
1,29,4,40164.0,5
1,41,4,31308.0,5
1,43,8,128.0,5
1,49,8,25.0,5
1,55,8,1056.0,5
1,61,8,32.0,5
1,62,8,1446.0,5
1,63,8,528.0,5
2,15,4,19580.0,5
3,8,1,8102.0,5
3,22,1,4858.0,5
3,30,4,33190.0,5
3,35,0,20568.0,5
3,35,4,26682.0,5
3,36,4,9796.0,5
3,42,0,25830.0,5
4,9,1,5850.0,5
5,5,3,2488.0,5
5,6,3,23114.0,5
5,8,3,16204.0,5
5,9,3,51490.0,5
5,14,3,77456.0,5
5,35,1,14522.0,5
6,31,11,80.0,5
6,44,0,1280.0,5
6,61,11,16.0,5
7,10,2,40806.0,5
8,5,1,1244.0,5
9,6,1,5742.0,5
9,10,3,40806.0,5
9,12,1,5429.0,5
9,16,3,652.0,5
9,22,3,19432.0,5
9,24,3,1088.0,5
9,31,9,20.0,5
9,35,3,15460.0,5
9,49,13,50.0,5
10,9,2,39790.0,5
10,12,3,55376.0,5
10,22,2,9716.0,5
10,24,2,1088.0,5
10,49,9,25.0,5
11,16,4,20128.0,5
11,20,8,901.0,5
11,44,4,2560.0,5
12,1,0,43234.0,5
12,14,0,96704.0,5
12,15,0,9790.0,5
12,16,0,58102.0,5
12,39,11,520.0,5
13,1,4,86468.0,5
13,9,4,23400.0,5
13,13,4,39184.0,5
13,14,4,122600.0,5
13,19,4,24548.0,5
13,20,4,9572.0,5
13,32,4,16788.0,5
13,40,4,4596.0,5
13,42,4,80720.0,5
13,56,8,2648.0,5
14,11,0,35664.0,5
14,12,0,104432.0,5
14,20,0,2393.0,5
14,21,0,9680.0,5
14,32,0,4197.0,5
14,36,0,2449.0,5
14,39,5,520.0,5
14,40,0,9192.0,5
14,41,0,58644.0,5
14,43,5,64.0,5
14,55,5,528.0,5
14,55,11,528.0,5
14,64,5,126.0,5
15,6,0,11630.0,5
15,25,0,3591.0,5
15,29,0,20082.0,5
15,30,0,23290.0,5
15,62,10,364.0,5
16,13,0,19592.0,5
16,19,0,8737.0,5
16,42,5,520.0,5
16,61,5,16.0,5
18,31,13,40.0,5
19,20,10,1802.0,5
19,20,12,901.0,5
20,62,12,498.0,5
25,42,12,780.0,5
25,57,10,136.0,5
30,25,5,576.0,5
30,31,8,20.0,5
30,37,5,1260.0,5
30,39,8,1040.0,5
30,43,11,64.0,5
32,57,12,408.0,5
36,25,10,264.0,5
36,37,10,420.0,5
36,42,10,260.0,5
41,57,5,272.0,5
41,63,5,264.0,5
42,25,12,840.0,5
42,42,10,781.0,5
42,64,10,63.0,5
0,10,2,16444.0,6
1,3,4,7740.0,6
1,5,4,15840.0,6
1,8,4,3456.0,6
1,11,4,21524.0,6
1,12,4,76663.0,6
1,16,4,25199.0,6
1,19,4,16656.0,6
1,21,4,15840.0,6
1,24,8,3324.0,6
1,25,4,5724.0,6
1,27,8,652.0,6
1,30,4,3372.0,6
1,41,4,33491.0,6
1,49,8,2429.0,6
1,60,8,2000.0,6
1,61,8,8008.0,6
1,63,8,5204.0,6
2,15,4,8672.0,6
2,17,4,23080.0,6
2,29,4,2856.0,6
2,35,3,4784.0,6
3,6,4,9288.0,6
3,17,1,5770.0,6
3,35,0,13880.0,6
3,35,4,12188.0,6
3,36,4,6888.0,6
3,42,0,14674.0,6
3,44,4,11328.0,6
4,5,1,5280.0,6
4,5,3,10560.0,6
4,10,3,16444.0,6
4,17,2,11540.0,6
4,17,3,23080.0,6
4,21,3,10560.0,6
5,6,3,6192.0,6
5,8,1,1152.0,6
5,9,1,3136.0,6
5,14,3,35396.0,6
5,16,3,11214.0,6
5,21,7,408.0,6
5,35,1,4320.0,6
5,35,7,784.0,6
5,58,7,52.0,6
6,36,0,3444.0,6
6,44,0,5664.0,6
6,58,11,3213.0,6
6,60,7,5742.0,6
6,63,11,2602.0,6
8,12,1,5216.0,6
8,24,7,8102.0,6
9,9,3,34948.0,6
9,12,3,43618.0,6
9,24,2,11482.0,6
9,24,3,11482.0,6
9,30,3,1760.0,6
9,31,9,2669.0,6
9,46,13,512.0,6
9,48,9,1634.0,6
9,60,9,11638.0,6
10,3,3,5160.0,6
10,8,3,2304.0,6
10,9,2,28676.0,6
10,21,1,5280.0,6
10,21,9,408.0,6
10,24,9,14750.0,6
10,46,9,256.0,6
10,49,9,2429.0,6
10,54,9,2560.0,6
11,20,8,2241.0,6
11,62,8,15591.0,6
12,1,0,35930.0,6
12,14,0,58772.0,6
12,15,0,4336.0,6
12,16,0,36348.0,6
12,21,11,612.0,6
12,31,11,10676.0,6
12,35,14,9144.0,6
12,39,11,2352.0,6
12,40,6,440.0,6
12,40,7,896.0,6
12,40,14,3568.0,6
12,46,11,1024.0,6
12,58,6,1071.0,6
12,60,11,6613.0,6
12,61,11,4004.0,6
13,1,4,71860.0,6
13,9,4,12544.0,6
13,13,4,96096.0,6
13,14,4,60886.0,6
13,20,4,37548.0,6
13,42,4,46744.0,6
13,56,8,9796.0,6
14,12,0,68746.0,6
14,20,0,9387.0,6
14,20,5,2673.0,6
14,25,5,2590.0,6
14,37,5,1971.0,6
14,39,5,1688.0,6
14,40,5,7640.0,6
14,41,0,47143.0,6
14,43,5,3338.0,6
14,48,11,2451.0,6
14,49,11,100.0,6
14,53,5,108.0,6
14,55,5,7402.0,6
14,63,11,264.0,6
15,6,0,6192.0,6
15,11,0,10762.0,6
15,25,0,2718.0,6
15,25,10,4034.0,6
15,29,0,1428.0,6
15,30,0,3956.0,6
15,53,10,27.0,6
15,57,10,36.0,6
15,62,10,798.0,6
16,3,0,5160.0,6
16,13,0,48048.0,6
16,19,0,5715.0,6
16,27,11,326.0,6
16,35,5,13584.0,6
16,42,5,1562.0,6
16,61,5,4004.0,6
19,25,10,1551.0,6
19,37,10,2600.0,6
20,23,12,2141.0,6
20,45,16,195.0,6
20,52,16,69.0,6
20,53,12,108.0,6
20,57,12,144.0,6
20,62,16,480.0,6
20,76,16,64.0,6
20,82,16,93.0,6
21,39,8,4704.0,6
21,51,8,136.0,6
22,49,13,4858.0,6
24,51,9,544.0,6
25,23,10,624.0,6
25,52,18,92.0,6
25,57,10,1167.0,6
25,76,20,48.0,6
25,82,18,124.0,6
29,31,8,2669.0,6
29,43,8,1460.0,6
29,46,8,256.0,6
29,55,8,5656.0,6
30,27,5,326.0,6
30,39,5,2352.0,6
30,42,5,732.0,6
31,49,24,4.0,6
31,63,24,16.0,6
32,62,12,4197.0,6
35,35,6,4360.0,6
35,40,6,438.0,6
36,56,12,2449.0,6
39,45,17,260.0,6
40,58,14,2298.0,6
41,25,5,9007.0,6
41,28,5,1114.0,6
41,28,8,2228.0,6
41,37,8,1300.0,6
41,53,5,81.0,6
41,57,5,108.0,6
41,58,5,4284.0,6
41,63,5,2602.0,6
42,20,10,10313.0,6
42,37,12,2980.0,6
42,42,10,366.0,6
42,45,18,260.0,6
42,56,12,662.0,6
42,64,10,24.0,6
42,64,12,189.0,6
43,62,17,32.0,6
44,54,8,640.0,6
55,49,17,4.0,6
55,52,17,92.0,6
55,55,17,19.0,6
55,63,17,12.0,6
55,65,17,1.0,6
55,66,17,136.0,6
57,66,18,136.0,6
61,73,17,8.0,6
62,63,23,8.0,6
62,66,16,102.0,6
62,66,23,136.0,6
62,76,23,16.0,6
62,82,23,156.0,6
62,87,16,80.0,6
1,5,4,14532.0,7
1,6,4,12240.0,7
1,10,4,64.0,7
1,12,4,45979.0,7
1,17,4,13288.0,7
1,24,8,183.0,7
1,25,4,17372.0,7
1,27,8,160.0,7
1,39,8,3376.0,7
1,43,8,1760.0,7
1,49,8,1568.0,7
1,55,8,1504.0,7
1,60,8,370.0,7
1,61,8,9044.0,7
2,10,3,15328.0,7
2,11,4,36104.0,7
2,15,4,13548.0,7
